Step,Accuracy,Precision,Recall
0,0.0000,0.0000,0.0000
100,0.2673,0.4286,0.2727
200,0.4378,0.4286,0.1429
300,0.5382,0.6316,0.3429
400,0.5960,0.6429,0.4390
500,0.6367,0.6250,0.5102
600,0.6639,0.6739,0.5536
700,0.6605,0.7222,0.5571
800,0.6754,0.7647,0.6190
900,0.6903,0.8000,0.6667
1000,0.6973,0.8090,0.6857
1100,0.7048,0.8200,0.6949
1200,0.7027,0.8073,0.7097
1300,0.6987,0.7903,0.7313
1400,0.7038,0.7820,0.7376
1500,0.7049,0.7902,0.7338
1600,0.7096,0.7974,0.7394
1700,0.7125,0.8036,0.7542
1800,0.7102,0.8054,0.7641
1900,0.7138,0.8030,0.7718
2000,0.7126,0.7907,0.7834
2100,0.7158,0.7867,0.7902
2200,0.7174,0.7750,0.7881
2300,0.7223,0.7843,0.7905
2400,0.7201,0.7770,0.7828
2500,0.7229,0.7834,0.7834
2600,0.7201,0.7840,0.7840
2700,0.7216,0.7822,0.7874
2800,0.7230,0.7891,0.7866
2900,0.7208,0.7846,0.7919
3000,0.7234,0.7898,0.7922
3100,0.7227,0.7889,0.7889
3200,0.7245,0.7905,0.7927
3300,0.7261,0.7940,0.7919
3400,0.7286,0.7974,0.7974
3500,0.7284,0.7955,0.8036
3600,0.7279,0.7956,0.8015
3700,0.7295,0.7981,0.8039
3800,0.7295,0.7963,0.8019
3900,0.7314,0.7959,0.8051
4000,0.7303,0.7977,0.8032
4100,0.7296,0.7982,0.8000
4200,0.7308,0.8022,0.8039
4300,0.7312,0.8046,0.8063
4400,0.7328,0.8041,0.8090
4500,0.7321,0.8044,0.8077
4600,0.7335,0.8086,0.8102
4700,0.7341,0.8046,0.8123
4800,0.7336,0.8063,0.8139
4900,0.7350,0.8063,0.8108
5000,0.7361,0.8044,0.8073
5100,0.7365,0.8054,0.8083
5200,0.7362,0.8049,0.8121
5300,0.7376,0.8038,0.8094
5400,0.7388,0.8058,0.8044
5500,0.7377,0.8078,0.8050
5600,0.7368,0.8076,0.8036
5700,0.7383,0.8117,0.8065
5800,0.7380,0.8102,0.8089
5900,0.7382,0.8110,0.8072
6000,0.7377,0.8115,0.8053
6100,0.7384,0.8133,0.8046
6200,0.7402,0.8148,0.8063
6300,0.7412,0.8163,0.8079
6400,0.7402,0.8173,0.8078
6500,0.7403,0.8192,0.8076
6600,0.7405,0.8191,0.8042
6700,0.7403,0.8191,0.8066
6800,0.7397,0.8181,0.8025
6900,0.7412,0.8184,0.8019
7000,0.7423,0.8209,0.8024
7100,0.7438,0.8199,0.8016
7200,0.7445,0.8181,0.8000
7300,0.7443,0.8181,0.8003
7400,0.7441,0.8177,0.8033
7500,0.7450,0.8183,0.8030
7600,0.7452,0.8156,0.8045
7700,0.7443,0.8127,0.8047
7800,0.7443,0.8118,0.8019
7900,0.7440,0.8114,0.8007
8000,0.7440,0.8128,0.7993
